key,en,vi
gamification.desc_quest_5,Complete 50 workout sets,Hoàn thành 50 hiệp tập (sets)
gamification.title_quest_6,All-Around Athlete,Toàn diện
gamification.desc_quest_6,Complete 15 exercises,Hoàn thành 15 bài tập
gamification.tab_quests,Quests,Nhiệm vụ
gamification.msg_rank_up,Rank Up!,Thăng Hạng!
gamification.desc_top_1_icon,Rank 1,Hạng 1
gamification.fmt_user_level,Level {arg1},Cấp {arg1}
gamification.fmt_user_name_badge,{arg1} (You),{arg1} (Bạn)
gamification.title_weekly_chest,Weekly Chest,Rương Tuần
gamification.title_weekly_quests,This Week's Quests,Nhiệm vụ tuần này
gamification.msg_workout_deleted,Workout deleted,Đã xóa buổi tập thành công
gamification.lbl_xp_earned,XP Earned,XP Nhận được
gamification.fmt_xp_progress,{arg1} / {arg2} XP,{arg1} / {arg2} XP
gamification.fmt_xp_value,{arg1} XP,{arg1} XP
main.toast_auth_success,Authentication successful!,Xác thực thành công!
main.title_weekly_reminder,A week has passed! ⏳,Đã một tuần trôi qua! ⏳
main.msg_weekly_reminder,"For the AI Coach to accurately analyze your charts and perfectly optimize your Calories, please take a moment to record your current weight!","Để Trợ lý ảo phân tích biểu đồ chính xác và tối ưu lượng Calo hoàn hảo nhất, bạn hãy dành chút thời gian ghi nhận lại cân nặng hiện tại của mình nhé!"
main.btn_weekly_reminder_skip,Remind me later,Nhắc tôi sau
main.btn_weekly_reminder_update,Log now,Ghi nhận ngay
muscles.abductors,Abductors,Cơ mở đùi
muscles.abs,Abs,Bụng
muscles.adductors,Adductors,Cơ khép đùi
muscles.arms,Arms,Tay
muscles.back,Back,Lưng
muscles.biceps,Biceps,Tay trước
muscles.calves,Calves,Bắp chuối
muscles.cardio,Cardio,Tim mạch
muscles.chest,Chest,Ngực
muscles.core,Core/Abs,Lõi
muscles.forearms,Forearms,Cẳng tay
muscles.front_delts,Front Delts,Vai trước
muscles.full_body,Full Body,Toàn thân
muscles.glutes,Glutes,Cơ mông
muscles.hamstrings,Hamstrings,Đùi sau
muscles.lats,Lats,Cơ xô
muscles.legs,Legs,Chân
muscles.lower_back,Lower Back,Lưng dưới
muscles.lower_chest,Lower Chest,Ngực dưới
muscles.middle_chest,Middle Chest,Ngực giữa
muscles.neck,Neck,Cổ
muscles.obliques,Obliques,Cơ liên sườn
muscles.quads,Quads,Đùi trước
muscles.rear_delts,Rear Delts,Vai sau
muscles.shoulders,Shoulders,Vai
muscles.side_delts,Side Delts,Vai giữa
muscles.traps,Traps,Cơ thang
muscles.triceps,Triceps,Tay sau
muscles.upper_back,Upper Back,Lưng trên
muscles.upper_chest,Upper Chest,Ngực trên
nutrition.btn_add_food,Add This Food,Thêm món này
nutrition.bmi_current,Current Body Mass Index (BMI),Chỉ số khối cơ thể (BMI) hiện tại
nutrition.bmi_normal,normal,bình thường
nutrition.bmi_obese,obese,béo phì
nutrition.bmi_overweight,overweight,thừa cân
nutrition.desc_bmi_prefix,This index indicates you are,Chỉ số này cho thấy bạn đang
nutrition.bmi_severe_obese,severely obese,béo phì cấp độ nặng
nutrition.fmt_bmi_suffix,{arg1}!,{arg1}!
nutrition.bmi_target,Target Body Mass Index (BMI) at this weight,Chỉ số khối cơ thể (BMI) mục tiêu với mức cân nặng này
nutrition.bmi_underweight,underweight,thiếu cân
nutrition.lbl_consumed_vs_target,Consumed / Target,Đã nạp / Mục tiêu
nutrition.msg_copy_empty,You haven't entered any food for this meal yesterday.,Hôm qua bạn chưa nhập liệu cho bữa này.
nutrition.title_copy_meal,Copy Meal,Sao chép bữa ăn
nutrition.msg_copy_success,Successfully copied yesterday's meal!,Đã sao chép bữa ăn hôm qua!
nutrition.lbl_cust_foods,Custom Foods,Món ăn do bạn tạo
nutrition.msg_cust_macro_pace_hidden,"Because you are using a custom Nutrition goal, the pace selection has been hidden. The expected timeline will automatically adjust corresponding to your new weight goal and Calories set.","Do bạn đang dùng mục tiêu Dinh dưỡng tùy chỉnh, phần lựa chọn tốc độ đã được ẩn. Timeline dự kiến sẽ tự động thay đổi tương ứng với mục tiêu cân nặng mới và lượng Calo bạn thiết lập."
nutrition.title_cust_macros,Custom Nutrition,Tùy chỉnh Dinh dưỡng
nutrition.lbl_dash_calories,Calories,Năng lượng
nutrition.fmt_dash_calories,{arg1} / {arg2} kcal,{arg1} / {arg2} kcal
nutrition.lbl_dash_calories_consumed,Calories Consumed,Năng lượng đã nạp
nutrition.fmt_dash_calories_suffix,/ {arg1} kcal,/ {arg1} kcal
nutrition.lbl_dash_cust,Custom,Tùy chỉnh
nutrition.fmt_dash_macro_progress,{arg1} / {arg2} g,{arg1} / {arg2} g
nutrition.lbl_dash_system,System,Hệ thống
nutrition.btn_date_picker_select,Select,Chọn
nutrition.msg_delete_cust_food,Are you sure you want to permanently delete this custom food from the list?,Bạn có chắc muốn xóa vĩnh viễn món ăn tự tạo này khỏi danh sách không?
nutrition.msg_delete_success,Successfully deleted the food,Đã xóa món ăn thành công
nutrition.lbl_demo_yesterday_meal,Beef Pho (Yesterday),Phở Bò (Hôm qua)
nutrition.btn_deselect,Deselect,Bỏ chọn
nutrition.title_edit_food,Edit Nutrition Info,Sửa thành phần dinh dưỡng
nutrition.msg_empty_history,You have no food history yet,Bạn chưa có lịch sử ăn uống nào cả
nutrition.btn_food_add_selected,Add {arg1} item(s) to meal,Đưa {arg1} món vào thực đơn
nutrition.title_food_add_to_meal,Add to {arg1},Thêm vào {arg1}
nutrition.err_food_cal,"Calories must be between 1 and 10,000 kcal.","Calories của món ăn phải từ 1 đến 10,000 kcal."
nutrition.err_food_exceed_cal,"Food calories exceed the limit of 20,000 kcal per meal.","Lượng Calories vượt quá giới hạn 20,000 kcal của bữa ăn."
nutrition.err_food_exceed_pcf,"Macro nutrients exceed the limit of 1,000g per meal.","Lượng Macro vượt quá giới hạn 1,000g của bữa ăn."
nutrition.fmt_food_kcal_per_unit,{arg1} kcal / {arg2},{arg1} kcal / {arg2}
nutrition.tab_food_library,Food Library,Thư viện thực phẩm
nutrition.msg_food_loading,Connecting data...,Đang kết nối dữ liệu...
nutrition.err_food_name,Food name must contain letters and be at most 50 characters long.,Tên món ăn phải chứa chữ cái và tối đa 50 ký tự.
nutrition.food_name_almonds,Almonds,Hạnh Nhân
nutrition.food_name_apple,Apple,Táo
nutrition.food_name_avocado_smoothie,Avocado Smoothie,Sinh Tố Bơ
nutrition.food_name_banana,Banana,Chuối
nutrition.food_name_banh_cuon,Banh Cuon,Bánh Cuốn
nutrition.food_name_banh_mi,Banh Mi Meat,Bánh Mì Thịt
nutrition.food_name_beef_tenderloin,Beef Tenderloin,Thịt Bò Thăn
nutrition.food_name_boiled_chicken_breast,Boiled Chicken Breast,Ức Gà Luộc
nutrition.food_name_boiled_egg,Boiled Egg,Trứng Luộc
nutrition.food_name_broccoli_boiled,Boiled Broccoli,Bông Cải Xanh Luộc
nutrition.food_name_bun_bo_hue,Bun Bo Hue,Bún Bò Huế
nutrition.food_name_bun_cha,Bun Cha,Bún Chả
nutrition.food_name_com_tam,Com Tam (Broken Rice),Cơm Tấm
nutrition.food_name_fresh_milk,Fresh Milk,Sữa Tươi
nutrition.food_name_fried_egg,Fried Egg,Trứng Ốp La
nutrition.food_name_goi_cuon,Spring Rolls,Gỏi Cuốn
nutrition.food_name_greek_yogurt,Greek Yogurt,Sữa Chua Hy Lạp
nutrition.food_name_hu_tieu,Hu Tieu,Hủ Tiếu
nutrition.food_name_iced_coffee,Iced Milk Coffee,Cà Phê Sữa Đá
nutrition.food_name_mi_quang,Mi Quang,Mỳ Quảng
nutrition.food_name_oatmeal_raw,Raw Oatmeal,Yến Mạch (Sống)
nutrition.food_name_olive_oil,Olive Oil,Dầu Ô-liu
nutrition.food_name_orange_juice,Orange Juice,Nước Ép Cam
nutrition.food_name_peanut_butter,Peanut Butter,Bơ Đậu Phộng
nutrition.food_name_pho_bo,Beef Pho,Phở Bò
nutrition.food_name_salmon_raw,Raw Salmon,Cá Hồi Tươi
nutrition.food_name_sweet_potato,Sweet Potato,Khoai Lang
nutrition.food_name_tofu,Tofu,Đậu Hũ
nutrition.food_name_whey_protein,Whey Protein,Whey Protein
nutrition.food_name_white_rice,White Rice,Cơm Trắng
nutrition.food_name_xoi_man,Xoi Man (Savory Sticky Rice),Xôi Mặn
nutrition.msg_food_not_found,No foods found,Không tìm thấy thực phẩm nào
nutrition.err_food_pcf,Protein/Carb/Fat must not exceed 500g.,Protein/Carb/Fat của món ăn không vượt quá 500g.
nutrition.tab_food_quick_add,Input Meal,Nhập món ăn
nutrition.title_food_quick_input,How many Calories did you just consume?,Bạn vừa nạp bao nhiêu Năng lượng?
nutrition.btn_food_quick_submit,QUICK ADD,THÊM NHANH
nutrition.desc_food_remove,Remove food from meal plan,Bỏ món ăn khỏi thực đơn
nutrition.hint_food_search,Search for food...,Tìm kiếm thực phẩm...
nutrition.lbl_food_suggestions,Suggestions / Recent,Gợi ý / Ăn gần đây
nutrition.lbl_food_unit_100g,100g,100g
nutrition.lbl_food_unit_100ml,100ml,100ml
nutrition.fmt_food_unit_pieces,1 {arg1},1 {arg1}
nutrition.fmt_goal_current_date,Current ({arg1}),Hiện tại ({arg1})
nutrition.fmt_goal_days_left,{days} days left,Còn {days} ngày
nutrition.lbl_goal_due,Goal Due,Đạt mục tiêu trong
nutrition.desc_goal_edit,Customize goal,Tùy chỉnh mục tiêu
nutrition.msg_goal_maintained,Your target and current weight are aligned. Keep maintaining your diet and training!,Cân nặng mục tiêu và hiện tại của bạn đã đồng nhất. Hãy tiếp tục duy trì chế độ ăn và tập luyện nhé!
nutrition.fmt_goal_speed,~{arg1} kg/week,~{arg1} kg/tuần
nutrition.fmt_goal_target_date,Target ({arg1}),Mục tiêu ({arg1})
nutrition.btn_goal_update_wt,Update Weight,Cập nhật cân nặng
nutrition.title_history,Nutrition History,Lịch sử Dinh dưỡng
nutrition.title_input_amount,Input Amount,Nhập số lượng
nutrition.err_invalid_number,Please enter a valid number,Vui lòng nhập số hợp lệ
nutrition.fmt_kcal,{arg1} kcal,{arg1} kcal
nutrition.fmt_macro_c,C: {arg1}g,T: {arg1}g
nutrition.err_macro_cal_target,"Calorie target must be between 500 and 20,000 kcal.","Mục tiêu Calories phải từ 500 đến 20,000 kcal."
nutrition.fmt_macro_f,F: {arg1}g,B: {arg1}g
nutrition.fmt_macro_p,P: {arg1}g,Đ: {arg1}g
nutrition.err_macro_pcf_target,"Protein/Carb/Fat targets must be between 0 and 1,000g.","Mục tiêu Protein/Carb/Fat phải từ 0 đến 1,000g."
nutrition.fmt_macro_ratio,{arg1}/{arg2}g,{arg1}/{arg2}g
nutrition.err_macro_warn_target,"Warning: Total energy from P,C,F differs by more than 20% from Calories. Are you sure you want to save?","Cảnh báo: Tổng năng lượng từ P,C,F chênh lệch quá 20% so với Calories. Bạn có chắc chắn muốn lưu?"
nutrition.title_main,Nutrition,Dinh dưỡng
nutrition.btn_main_copy_yesterday,Copy yesterday's meal plan,Sao chép thực đơn hôm qua
nutrition.title_manual_wt_input,Input Weight,Nhập cân nặng
nutrition.err_max_wt,Weight must be {arg1} kg or lower,Cân nặng phải từ {arg1} kg trở xuống
nutrition.btn_meal_add_first,Tap to add food,Nhấn để thêm thực phẩm
nutrition.btn_meal_add_food,Add Food,Thêm món ăn
nutrition.btn_meal_add_more,Add another food,Thêm món ăn khác
nutrition.err_min_wt,Weight must be {arg1} kg or higher,Cân nặng phải từ {arg1} kg trở lên
nutrition.name_meal_breakfast,Breakfast,Bữa Sáng
nutrition.name_meal_dinner,Dinner,Bữa Tối
nutrition.name_meal_lunch,Lunch,Bữa Trưa
nutrition.name_meal_snack,Snack,Ăn Vặt
nutrition.btn_never_remind_again,Never remind again,Đừng nhắc lại
nutrition.fmt_pace_days,~{arg1} days,~{arg1} ngày
nutrition.err_pace_too_fast,You need at least {arg1} days to achieve this goal safely.,Bạn cần ít nhất {arg1} ngày để đạt mục tiêu này một cách an toàn.
nutrition.placeholder_quick_food_name,Example: Beef Pho,Ví dụ: Phở bò
nutrition.err_portion_qty,Portion must be between 0.01 and 100.,Khẩu phần phải từ 0.01 đến 100.
nutrition.err_portion_scale,Portion must be between 1 and 5000 (g/ml).,Khẩu phần phải từ 1 đến 5000 (g/ml).
nutrition.title_portion_warn,Portion Warning,Cảnh báo khẩu phần
nutrition.lbl_quick_add,Quick Add,Nhập nhanh
nutrition.lbl_quick_food_name,Food Name (Optional),Tên món ăn (Tùy chọn)
nutrition.lbl_quick_portion,Number of Servings,Số lượng phần ăn
nutrition.btn_quick_save_log,Save to Diary,Lưu vào Nhật ký
nutrition.desc_review_accept,Accept your current weight and switch to a maintenance goal.,Chấp nhận cân nặng hiện tại và chuyển sang mục tiêu duy trì.
nutrition.btn_review_accept,Accept Results,Chốt thành quả
nutrition.fmt_review_bmi_suggestion,"Based on your new index ({arg1}), the system suggests the next steps:","Dựa trên chỉ số mới ({arg1}), hệ thống đề xuất hướng đi tiếp theo:"
nutrition.fmt_review_congrats,Congratulations on successfully reaching your {arg1} kg weight goal!,Chúc mừng bạn đã đạt thành công mức cân nặng {arg1} kg!
nutrition.btn_review_continue_gain,Continue gaining weight,Tiếp tục tăng cân
nutrition.btn_review_continue_lose,Continue losing weight,Tiếp tục giảm cân
nutrition.desc_review_diet_break,Eat at maintenance calories for 14 days to recover your metabolism.,Ăn ở mức duy trì năng lượng trong 14 ngày để phục hồi quá trình trao đổi chất.
nutrition.btn_review_diet_break,Diet Break (Refeed),Nghỉ ngơi (Ăn bù)
nutrition.title_review_expired,Expected time has expired,Đã hết thời gian dự kiến
nutrition.desc_review_extend,The system will recalculate a new completion date.,Hệ thống sẽ tính toán lại ngày hoàn thành mới.
nutrition.btn_review_extend,Extend time,Gia hạn thêm thời gian
nutrition.fmt_review_failed,"You are currently at {arg1} kg (Target: {arg2} kg). Don't worry, everyone's biological progress is different!","Bạn hiện đang ở mức {arg1} kg (Mục tiêu: {arg2} kg). Đừng lo lắng, tiến độ sinh học của mỗi người là khác nhau!"
